Original_ID,Rule,New_Question,New_Answer,Source
Q01,Rule 1,"Reflecting on the past semester, how often do you feel stressed during the academic semester?","Based on my experience, i often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",Gemini
Q01,Rule 2,How often do you feel stressed during the academic semester?,"To elaborate further, i often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",Gemini
Q01,Rule 3,How often do you feel anxious during the academic semester?,"I often feel anxious about once or twice a week, especially during exam periods and assignment deadlines.",Gemini
Q01,Rule 4,"Considering the context of student life, how often do you feel stressed during the academic semester?","Research suggests that i often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",Gemini
Q01,Rule 5,"From a student's perspective, how often do you feel stressed during the academic semester?","More often than not, i often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",Gemini
Q02,Rule 1,"Reflecting on the past semester, how frequently do you experience difficulty sleeping due to academic pressure?","Based on my experience, i experience difficulty sleeping about three times a week when the workload increases significantly.",Gemini
Q02,Rule 2,How often exactly do you experience difficulty sleeping due to academic pressure?,"To elaborate further, i experience difficulty sleeping about three times a week when the workload increases significantly.",Gemini
Q02,Rule 3,How frequently do you experience difficulty sleeping due to scholastic pressure?,I experience difficulty sleeping about three times a week when the workload increases significantly.,Gemini
Q02,Rule 4,"Considering the context of student life, how frequently do you experience difficulty sleeping due to academic pressure?",Research suggests that i experience difficulty sleeping about three times a week when the workload increases significantly.,Gemini
Q02,Rule 5,"From a student's perspective, how frequently do you experience difficulty sleeping due to academic pressure?","More often than not, i experience difficulty sleeping about three times a week when the workload increases significantly.",Gemini
Q03,Rule 1,"Reflecting on the past semester, how often do you feel anxious before exams or important presentations?","Based on my experience, i almost always feel anxious before exams, experiencing nervousness at least a day before the event.",Gemini
Q03,Rule 2,How often do you feel anxious before exams or important presentations?,"To elaborate further, i almost always feel anxious before exams, experiencing nervousness at least a day before the event.",Gemini
Q03,Rule 3,How regularly do you feel anxious before exams or important presentations?,"I almost always experience anxious before exams, experiencing nervousness at least a day before the event.",Gemini
Q03,Rule 4,"Considering the context of student life, how often do you feel anxious before exams or important presentations?","Research suggests that i almost always feel anxious before exams, experiencing nervousness at least a day before the event.",Gemini
Q03,Rule 5,"From a student's perspective, how often do you feel anxious before exams or important presentations?","More often than not, i almost always feel anxious before exams, experiencing nervousness at least a day before the event.",Gemini
Q04,Rule 1,"Reflecting on the past semester, how regularly do you take breaks to rest during your study sessions?","Based on my experience, i try to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.",Gemini
Q04,Rule 2,How consistently do you take breaks to rest during your study sessions?,"To elaborate further, i try to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.",Gemini
Q04,Rule 3,How regularly do you take breaks to rest during your study sessions?,I try to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.,Gemini
Q04,Rule 4,"Considering the context of student life, how regularly do you take breaks to rest during your study sessions?",Research suggests that i try to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.,Gemini
Q04,Rule 5,"From a student's perspective, how regularly do you take breaks to rest during your study sessions?","More often than not, i try to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.",Gemini
Q05,Rule 1,"Reflecting on the past semester, how often do you engage in physical exercise to manage stress?","Based on my experience, i exercise about two to three times per week, which helps reduce my stress levels significantly.",Gemini
Q05,Rule 2,How often do you engage in physical exercise to manage stress?,"To elaborate further, i exercise about two to three times per week, which helps reduce my stress levels significantly.",Gemini
Q05,Rule 3,How often do you engage in physical exercise to manage anxiety?,"I exercise about two to three times per week, which helps reduce my anxiety levels significantly.",Gemini
Q05,Rule 4,"Considering the context of student life, how often do you engage in physical exercise to manage stress?","Research suggests that i exercise about two to three times per week, which helps reduce my stress levels significantly.",Gemini
Q05,Rule 5,"From a student's perspective, how often do you engage in physical exercise to manage stress?","More often than not, i exercise about two to three times per week, which helps reduce my stress levels significantly.",Gemini
Q06,Rule 1,"Reflecting on the past semester, how frequently do you talk to friends or family about your mental health concerns?","Based on my experience, i usually talk to my close friends about my feelings once or twice a month when things get difficult.",Gemini
Q06,Rule 2,How often exactly do you talk to friends or family about your mental health concerns?,"To elaborate further, i usually talk to my close friends about my feelings once or twice a month when things get difficult.",Gemini
Q06,Rule 3,How frequently do you talk to friends or family about your emotional well-being concerns?,I usually talk to my close friends about my feelings once or twice a month when things get difficult.,Gemini
Q06,Rule 4,"Considering the context of student life, how frequently do you talk to friends or family about your mental health concerns?",Research suggests that i usually talk to my close friends about my feelings once or twice a month when things get difficult.,Gemini
Q06,Rule 5,"From a student's perspective, how frequently do you talk to friends or family about your mental health concerns?","More often than not, i usually talk to my close friends about my feelings once or twice a month when things get difficult.",Gemini
Q07,Rule 1,"Reflecting on the past semester, how often do you feel overwhelmed by the amount of academic work assigned?","Based on my experience, i feel overwhelmed at least once a week, particularly when multiple assignments are due simultaneously.",Gemini
Q07,Rule 2,How often do you feel overwhelmed by the amount of academic work assigned?,"To elaborate further, i feel overwhelmed at least once a week, particularly when multiple assignments are due simultaneously.",Gemini
Q07,Rule 3,How regularly do you feel overwhelmed by the amount of academic work assigned?,"I experience overwhelmed at least once a week, particularly when multiple assignments are due simultaneously.",Gemini
Q07,Rule 4,"Considering the context of student life, how often do you feel overwhelmed by the amount of academic work assigned?","Research suggests that i feel overwhelmed at least once a week, particularly when multiple assignments are due simultaneously.",Gemini
Q07,Rule 5,"From a student's perspective, how often do you feel overwhelmed by the amount of academic work assigned?","More often than not, i feel overwhelmed at least once a week, particularly when multiple assignments are due simultaneously.",Gemini
Q08,Rule 1,"Reflecting on the past semester, how regularly do you seek professional mental health support or counseling?","Based on my experience, i have sought counseling twice this year, but most students rarely access professional mental health support.",Gemini
Q08,Rule 2,How consistently do you seek professional mental health support or counseling?,"To elaborate further, i have sought counseling twice this year, but most students rarely access professional mental health support.",Gemini
Q08,Rule 3,How regularly do you seek professional emotional well-being support or counseling?,"I have sought counseling twice this year, but most undergraduates rarely access professional mental health support.",Gemini
Q08,Rule 4,"Considering the context of student life, how regularly do you seek professional mental health support or counseling?","Research suggests that i have sought counseling twice this year, but most students rarely access professional mental health support.",Gemini
Q08,Rule 5,"From a student's perspective, how regularly do you seek professional mental health support or counseling?","More often than not, i have sought counseling twice this year, but most students rarely access professional mental health support.",Gemini
Q09,Rule 1,"Reflecting on the past semester, how often do you experience mood changes that affect your academic performance?","Based on my experience, my mood changes affect my studies about once a week, especially during high-stress periods.",Gemini
Q09,Rule 2,How often do you experience mood changes that affect your academic performance?,"To elaborate further, my mood changes affect my studies about once a week, especially during high-stress periods.",Gemini
Q09,Rule 3,How regularly do you experience mood changes that affect your academic performance?,"My mood changes affect my studies about once a week, especially during high-anxiety periods.",Gemini
Q09,Rule 4,"Considering the context of student life, how often do you experience mood changes that affect your academic performance?","Research suggests that my mood changes affect my studies about once a week, especially during high-stress periods.",Gemini
Q09,Rule 5,"From a student's perspective, how often do you experience mood changes that affect your academic performance?","More often than not, my mood changes affect my studies about once a week, especially during high-stress periods.",Gemini
Q10,Rule 1,"Reflecting on the past semester, how frequently do you use social media as a way to cope with stress?","Based on my experience, i use social media for about an hour daily as a temporary distraction from academic pressure.",Gemini
Q10,Rule 2,How often exactly do you use social media as a way to cope with stress?,"To elaborate further, i use social media for about an hour daily as a temporary distraction from academic pressure.",Gemini
Q10,Rule 3,How frequently do you use social media as a way to cope with anxiety?,I use social media for about an hour daily as a temporary distraction from scholastic pressure.,Gemini
Q10,Rule 4,"Considering the context of student life, how frequently do you use social media as a way to cope with stress?",Research suggests that i use social media for about an hour daily as a temporary distraction from academic pressure.,Gemini
Q10,Rule 5,"From a student's perspective, how frequently do you use social media as a way to cope with stress?","More often than not, i use social media for about an hour daily as a temporary distraction from academic pressure.",Gemini
Q11,Rule 1,"Reflecting on the past semester, why do students seek mental health support at universities?","Based on my experience, students seek support to manage academic pressure, relationship issues, and to develop effective coping strategies.",Gemini
Q11,Rule 2,For what reason do university students specifically seek out campus mental health services?,"Students seek support to manage academic pressure, relationship issues, and to develop effective coping strategies.",Gemini
Q11,Rule 3,Why do undergraduates seek emotional well-being guidance at institutions?,"Undergraduates seek guidance to manage academic pressure, relationship issues, and to develop effective coping strategies.",Gemini
Q11,Rule 4,"Considering the context of student life, why do students seek mental health support at universities?","Research suggests that students seek support to manage academic pressure, relationship issues, and to develop effective coping strategies.",Gemini
Q11,Rule 5,"From a student's perspective, why do students seek mental health support at universities?","More often than not, students seek support to manage academic pressure, relationship issues, and to develop effective coping strategies.",Gemini
Q12,Rule 1,"Reflecting on the past semester, what is the primary reason you would consider talking to a mental health counselor?","Based on my experience, I would consider it if I felt unable to cope with stress or experienced persistent feelings of sadness and hopelessness.",Gemini
Q12,Rule 2,Which aspects of your mental state would be the primary reason you would consider talking to a professional counselor?,I would consider it if I felt unable to cope with stress or experienced persistent feelings of sadness and hopelessness.,Gemini
Q12,Rule 3,What is the primary reason you would consider talking to an emotional well-being counselor?,I would consider it if I felt unable to cope with pressure or experienced persistent feelings of sadness and hopelessness.,Gemini
Q12,Rule 4,"Considering the context of student life, what is the primary reason you would consider talking to a mental health counselor?",Research suggests that individuals consider it if they feel unable to cope with stress or experience persistent feelings of sadness.,Gemini
Q12,Rule 5,"From a student's perspective, what is the primary reason you would consider talking to a mental health counselor?","More often than not, I would consider it if I felt unable to cope with stress or experienced persistent feelings of sadness and hopelessness.",Gemini
Q13,Rule 1,"Reflecting on the past semester, why is mental health education important in university settings?","Based on my experience, it raises awareness, reduces stigma, and equips students with tools to maintain their psychological well-being.",Gemini
Q13,Rule 2,For what reason is specialized mental health education a critical component of the university curriculum?,"It raises awareness, reduces stigma, and equips students with tools to maintain their psychological well-being.",Gemini
Q13,Rule 3,Why is emotional well-being education important in institution settings?,"It raises awareness, reduces stigma, and equips undergraduates with tools to maintain their psychological well-being.",Gemini
Q13,Rule 4,"Considering the context of student life, why is mental health education important in university settings?","Research suggests that it raises awareness, reduces stigma, and equips students with tools to maintain their psychological well-being.",Gemini
Q13,Rule 5,"From a student's perspective, why is mental health education important in university settings?","More often than not, it raises awareness, reduces stigma, and equips students with tools to maintain their psychological well-being.",Gemini
Q14,Rule 1,"Reflecting on the past semester, why do many students avoid seeking mental health help on campus?","Based on my experience, many avoid it due to stigma, lack of awareness, privacy concerns, and fear of being judged by peers.",Gemini
Q14,Rule 2,For what reason do many students avoid seeking mental health help on campus?,"To elaborate further, many avoid it due to stigma, lack of awareness, privacy concerns, and fear of being judged by peers.",Gemini
Q14,Rule 3,Why do many undergraduates avoid seeking mental health help on campus?,"Many avoid it due to stigma, lack of awareness, privacy worries, and fear of being judged by peers.",Gemini
Q14,Rule 4,"Considering the context of student life, why do many students avoid seeking mental health help on campus?","Research suggests that many avoid it due to stigma, lack of awareness, privacy concerns, and fear of being judged by peers.",Gemini
Q14,Rule 5,"From a student's perspective, why do many students avoid seeking mental health help on campus?","More often than not, many avoid it due to stigma, lack of awareness, privacy concerns, and fear of being judged by peers.",Gemini
Q15,Rule 1,"Reflecting on the past semester, what motivates students to participate in mental health workshops?","Based on my experience, students are motivated by the desire to improve self-awareness and learn practical stress management techniques.",Gemini
Q15,Rule 2,What motivates students to participate in mental health workshops?,"To elaborate further, students are motivated by the desire to improve self-awareness and learn practical stress management techniques.",Gemini
Q15,Rule 3,What motivates undergraduates to participate in mental health workshops?,Students are motivated by the desire to improve self-awareness and learn practical anxiety management techniques.,Gemini
Q15,Rule 4,"Considering the context of student life, what motivates students to participate in mental health workshops?",Research suggests that students are motivated by the desire to improve self-awareness and learn practical stress management techniques.,Gemini
Q15,Rule 5,"From a student's perspective, what motivates students to participate in mental health workshops?","More often than not, students are motivated by the desire to improve self-awareness and learn practical stress management techniques.",Gemini
Q16,Rule 1,"Reflecting on the past semester, why should universities invest in mental health resources for students?","Based on my experience, student mental health directly affects academic performance, retention rates, and overall campus well-being.",Gemini
Q16,Rule 2,For what reason should higher education institutions allocate significant funds to mental health resources?,"Student mental health directly affects academic performance, retention rates, and overall campus well-being.",Gemini
Q16,Rule 3,Why should institutions invest in emotional well-being resources for undergraduates?,"Undergraduates' emotional well-being directly affects academic performance, retention rates, and overall campus well-being.",Gemini
Q16,Rule 4,"Considering the context of student life, why should universities invest in mental health resources for students?","Research suggests that student mental health directly affects academic performance, retention rates, and overall campus well-being.",Gemini
Q16,Rule 5,"From a student's perspective, why should universities invest in mental health resources for students?","More often than not, student mental health directly affects academic performance, retention rates, and overall campus well-being.",Gemini
Q17,Rule 1,"Reflecting on the past semester, why is peer support important for student mental health?","Based on my experience, peers can provide immediate, relatable support and encourage others to seek professional help when needed.",Gemini
Q17,Rule 2,For what reason is peer support important for student mental health?,"To elaborate further, peers can provide immediate, relatable support and encourage others to seek professional help when needed.",Gemini
Q17,Rule 3,Why is peer support important for student emotional well-being?,"Peers can provide immediate, relatable guidance and encourage others to seek professional help when needed.",Gemini
Q17,Rule 4,"Considering the context of student life, why is peer support important for student mental health?","Research suggests that peers can provide immediate, relatable support and encourage others to seek professional help when needed.",Gemini
Q17,Rule 5,"From a student's perspective, why is peer support important for student mental health?","More often than not, peers can provide immediate, relatable support and encourage others to seek professional help when needed.",Gemini
Q18,Rule 1,"Reflecting on the past semester, why do international students often experience higher levels of mental health challenges?","Based on my experience, they face cultural adjustment, language barriers, homesickness, and reduced social support networks abroad.",Gemini
Q18,Rule 2,For what reason do international students often experience higher levels of mental health challenges?,"To elaborate further, they face cultural adjustment, language barriers, homesickness, and reduced social support networks abroad.",Gemini
Q18,Rule 3,Why do international undergraduates often experience higher levels of mental health challenges?,"They face cultural adjustment, language barriers, homesickness, and reduced social guidance networks abroad.",Gemini
Q18,Rule 4,"Considering the context of student life, why do international students often experience higher levels of mental health challenges?","Research suggests that they face cultural adjustment, language barriers, homesickness, and reduced social support networks abroad.",Gemini
Q18,Rule 5,"From a student's perspective, why do international students often experience higher levels of mental health challenges?","More often than not, they face cultural adjustment, language barriers, homesickness, and reduced social support networks abroad.",Gemini
Q19,Rule 1,"Reflecting on the past semester, what is the main purpose of university mental health awareness campaigns?","Based on my experience, they aim to normalize mental health discussions, reduce stigma, and connect students to available support resources.",Gemini
Q19,Rule 2,Which aspect is the main purpose of university mental health awareness campaigns?,"To elaborate further, they aim to normalize mental health discussions, reduce stigma, and connect students to available support resources.",Gemini
Q19,Rule 3,What is the main purpose of institution mental health awareness campaigns?,"They aim to normalize mental health discussions, reduce stigma, and connect undergraduates to available support resources.",Gemini
Q19,Rule 4,"Considering the context of student life, what is the main purpose of university mental health awareness campaigns?","Research suggests that they aim to normalize mental health discussions, reduce stigma, and connect students to available support resources.",Gemini
Q19,Rule 5,"From a student's perspective, what is the main purpose of university mental health awareness campaigns?","More often than not, they aim to normalize mental health discussions, reduce stigma, and connect students to available support resources.",Gemini
Q20,Rule 1,"Reflecting on the past semester, why might students feel reluctant to disclose mental health struggles to academic staff?","Based on my experience, students may fear academic consequences, loss of privacy, or not being taken seriously by faculty members.",Gemini
Q20,Rule 2,For what reason might students feel reluctant to disclose mental health struggles to academic staff?,"To elaborate further, students may fear academic consequences, loss of privacy, or not being taken seriously by faculty members.",Gemini
Q20,Rule 3,Why might undergraduates feel reluctant to disclose mental health struggles to academic staff?,"undergraduates may fear academic consequences, loss of privacy, or not being taken seriously by faculty members.",Gemini
Q20,Rule 4,"Considering the context of student life, why might students feel reluctant to disclose mental health struggles to academic staff?","Research suggests that students may fear academic consequences, loss of privacy, or not being taken seriously by faculty members.",Gemini
Q20,Rule 5,"From a student's perspective, why might students feel reluctant to disclose mental health struggles to academic staff?","More often than not, students may fear academic consequences, loss of privacy, or not being taken seriously by faculty members.",Gemini
Q21,Rule 1,"Reflecting on the past semester, what are the main benefits of practicing mindfulness for students?","Based on my experience, mindfulness helps reduce anxiety, improve concentration, enhance emotional regulation, and promote overall well-being.",Gemini
Q21,Rule 2,Which aspects of a student's cognitive function are most improved by the daily practice of mindfulness?,"Mindfulness helps reduce anxiety, improve concentration, enhance emotional regulation, and promote overall well-being.",Gemini
Q21,Rule 3,What are the main benefits of practicing mindfulness for undergraduates?,"Mindfulness helps reduce anxiety, improve concentration, enhance emotional regulation, and promote overall well-being.",Gemini
Q21,Rule 4,"Considering the context of student life, what are the main benefits of practicing mindfulness for students?","Research suggests that mindfulness helps reduce anxiety, improve concentration, and enhance emotional regulation.",Gemini
Q21,Rule 5,"From a student's perspective, what are the main benefits of practicing mindfulness for students?","More often than not, mindfulness helps reduce anxiety, improve concentration, enhance emotional regulation, and promote overall well-being.",Gemini
Q22,Rule 1,"Reflecting on the past semester, how does addressing mental health positively affect academic performance?","Based on my experience, students with good mental health show better focus, memory retention, and overall higher academic achievement.",Gemini
Q22,Rule 2,In what way does actively addressing mental health concerns correlate with long-term academic success and GPA stability?,"Students with good mental health show better focus, memory retention, and overall higher academic achievement.",Gemini
Q22,Rule 3,How does addressing emotional well-being positively affect academic performance?,"Undergraduates with good emotional well-being show better focus, memory retention, and overall higher academic achievement.",Gemini
Q22,Rule 4,"Considering the context of student life, how does addressing mental health positively affect academic performance?","Research suggests that students with good mental health show better focus, memory retention, and overall higher achievement.",Gemini
Q22,Rule 5,"From a student's perspective, how does addressing mental health positively affect academic performance?","More often than not, students with good mental health show better focus, memory retention, and overall higher academic achievement.",Gemini
Q23,Rule 1,"Reflecting on the past semester, what benefits do students gain from participating in support groups?","Based on my experience, they gain a sense of belonging, shared coping strategies, reduced isolation, and emotional validation from peers.",Gemini
Q23,Rule 2,What benefits do students gain from participating in support groups?,"To elaborate further, they gain a sense of belonging, shared coping strategies, reduced isolation, and emotional validation from peers.",Gemini
Q23,Rule 3,What benefits do undergraduates gain from participating in support groups?,"They gain a sense of belonging, shared coping strategies, reduced isolation, and emotional validation from peers.",Gemini
Q23,Rule 4,"Considering the context of student life, what benefits do students gain from participating in support groups?","Research suggests that they gain a sense of belonging, shared coping strategies, reduced isolation, and emotional validation from peers.",Gemini
Q23,Rule 5,"From a student's perspective, what benefits do students gain from participating in support groups?","More often than not, they gain a sense of belonging, shared coping strategies, reduced isolation, and emotional validation from peers.",Gemini
Q24,Rule 1,"Reflecting on the past semester, how can good mental health contribute to a student's personal development?","Based on my experience, it builds resilience, improves decision-making, enhances creativity, and fosters stronger interpersonal relationships.",Gemini
Q24,Rule 2,In what way can good mental health contribute to a student's personal development?,"To elaborate further, it builds resilience, improves decision-making, enhances creativity, and fosters stronger interpersonal relationships.",Gemini
Q24,Rule 3,How can good emotional well-being contribute to a student's personal development?,"It builds resilience, improves decision-making, enhances creativity, and fosters stronger interpersonal relationships.",Gemini
Q24,Rule 4,"Considering the context of student life, how can good mental health contribute to a student's personal development?","Research suggests that it builds resilience, improves decision-making, enhances creativity, and fosters stronger interpersonal relationships.",Gemini
Q24,Rule 5,"From a student's perspective, how can good mental health contribute to a student's personal development?","More often than not, it builds resilience, improves decision-making, enhances creativity, and fosters stronger interpersonal relationships.",Gemini
Q25,Rule 1,"Reflecting on the past semester, what are the long-term benefits of addressing mental health issues during university?","Based on my experience, early intervention prevents chronic conditions, improves career prospects, and supports healthier adult relationships.",Gemini
Q25,Rule 2,Which aspects are the long-term benefits of addressing mental health issues during university?,"To elaborate further, early intervention prevents chronic conditions, improves career prospects, and supports healthier adult relationships.",Gemini
Q25,Rule 3,What are the long-term benefits of addressing mental health issues during institution?,"Early intervention prevents chronic conditions, improves career prospects, and supports healthier adult relationships.",Gemini
Q25,Rule 4,"Considering the context of student life, what are the long-term benefits of addressing mental health issues during university?","Research suggests that early intervention prevents chronic conditions, improves career prospects, and supports healthier adult relationships.",Gemini
Q25,Rule 5,"From a student's perspective, what are the long-term benefits of addressing mental health issues during university?","More often than not, early intervention prevents chronic conditions, improves career prospects, and supports healthier adult relationships.",Gemini
Q26,Rule 1,"Reflecting on the past semester, how does regular physical activity benefit student mental health?","Based on my experience, exercise releases endorphins, reduces cortisol levels, improves sleep quality, and promotes better mood stability.",Gemini
Q26,Rule 2,In what way does regular physical activity benefit student mental health?,"To elaborate further, exercise releases endorphins, reduces cortisol levels, improves sleep quality, and promotes better mood stability.",Gemini
Q26,Rule 3,How does regular physical activity benefit student emotional well-being?,"Exercise releases endorphins, reduces cortisol levels, improves sleep quality, and promotes better mood stability.",Gemini
