ID,Group,Question_EN,Answer_EN,Question_VI_Gemini,Answer_VI_Gemini,BLEU1,BLEU2,BLEU3,BLEU4,Fluency,Adequacy,Grammar,Nhan_xet
Q01,Frequency,How often do you feel stressed during the academic semester?,"I often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",Bạn có thường xuyên cảm thấy căng thẳng trong học kỳ không?,"Mình thường xuyên cảm thấy căng thẳng khoảng một hoặc hai lần mỗi tuần, đặc biệt là vào các kỳ thi và thời hạn nộp bài tập.",0.0,0.0,0.0,0.0,5,5,5,"Bản dịch tự nhiên, sát nghĩa và phù hợp với ngữ cảnh sinh viên."
Q02,Frequency,How frequently do you experience difficulty sleeping due to academic pressure?,I experience difficulty sleeping about three times a week when the workload increases significantly.,Bạn có thường xuyên bị mất ngủ do áp lực học tập không?,Mình bị khó ngủ khoảng ba lần một tuần khi khối lượng công việc tăng lên đáng kể.,0.0384,0.0,0.0,0.0,5,5,5,"Cấu trúc câu gãy gọn, truyền tải đúng tần suất được nêu trong bản gốc."
Q03,Frequency,How often do you feel anxious before exams or important presentations?,"I almost always feel anxious before exams, experiencing nervousness at least a day before the event.",Bạn có hay cảm thấy lo lắng trước các kỳ thi hoặc các buổi thuyết trình quan trọng không?,"Mình hầu như luôn cảm thấy lo lắng trước các kỳ thi, sự bồn chồn xuất hiện ít nhất một ngày trước khi sự kiện diễn ra.",0.0,0.0,0.0,0.0,5,5,5,"Sử dụng từ ngữ (bồn chồn, lo lắng) rất phù hợp với tâm lý trước kỳ thi."
Q04,Frequency,How regularly do you take breaks to rest during your study sessions?,I try to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.,Bạn có thường xuyên nghỉ ngơi trong các buổi học không?,Mình cố gắng nghỉ giải lao ngắn sau mỗi 45 đến 60 phút học tập để duy trì sự tập trung và giảm bớt mệt mỏi.,0.0384,0.0,0.0,0.0,5,5,5,"Bản dịch trôi chảy, diễn đạt rõ ràng mục đích của việc nghỉ giải lao."
Q05,Frequency,How often do you engage in physical exercise to manage stress?,"I exercise about two to three times per week, which helps reduce my stress levels significantly.",Bạn có thường xuyên tập thể dục để giải tỏa căng thẳng không?,"Mình tập thể dục khoảng hai đến ba lần mỗi tuần, việc này giúp giảm mức độ căng thẳng của mình một cách đáng kể.",0.0,0.0,0.0,0.0,5,5,5,Chuyển ngữ chính xác và tự nhiên về lợi ích của việc tập thể dục.
Q06,Frequency,How frequently do you talk to friends or family about your mental health concerns?,I usually talk to my close friends about my feelings once or twice a month when things get difficult.,Bạn có thường xuyên tâm sự với bạn bè hoặc gia đình về các vấn đề sức khỏe tâm thần của mình không?,Mình thường trò chuyện với bạn thân về cảm xúc của mình một hoặc hai lần mỗi tháng khi gặp khó khăn.,0.0,0.0,0.0,0.0,5,5,5,"Cách xưng hô ""mình"" tạo cảm giác gần gũi và đúng tinh thần sinh viên."
Q07,Frequency,How often do you feel overwhelmed by the amount of academic work assigned?,"I feel overwhelmed at least once a week, particularly when multiple assignments are due simultaneously.",Bạn có thường cảm thấy bị quá tải bởi lượng bài vở được giao không?,"Mình cảm thấy bị ngợp ít nhất một lần mỗi tuần, đặc biệt là khi có nhiều bài tập cùng đến hạn nộp một lúc.",0.0,0.0,0.0,0.0,5,5,5,"Dùng từ ""bị ngợp"" rất xác đáng để mô tả cảm giác quá tải bài vở."
Q08,Frequency,How regularly do you seek professional mental health support or counseling?,"I have sought counseling twice this year, but most students rarely access professional mental health support.",Bạn có thường xuyên tìm kiếm sự hỗ trợ hoặc tư vấn tâm lý chuyên nghiệp không?,"Mình đã đi tư vấn hai lần trong năm nay, nhưng hầu hết sinh viên rất hiếm khi tiếp cận các dịch vụ hỗ trợ sức khỏe tâm thần chuyên nghiệp.",0.0,0.0,0.0,0.0,5,5,5,Chuyển tải tốt sự đối lập giữa trải nghiệm cá nhân và thực trạng chung.
Q09,Frequency,How often do you experience mood changes that affect your academic performance?,"My mood changes affect my studies about once a week, especially during high-stress periods.",Bạn có thường gặp phải những thay đổi tâm trạng làm ảnh hưởng đến kết quả học tập không?,"Sự thay đổi tâm trạng ảnh hưởng đến việc học của mình khoảng một lần mỗi tuần, nhất là trong những giai đoạn áp lực cao.",0.0,0.0,0.0,0.0,5,5,5,"Câu văn mạch lạc, phản ánh đúng tác động của tâm trạng đến học tập."
Q10,Frequency,How frequently do you use social media as a way to cope with stress?,I use social media for about an hour daily as a temporary distraction from academic pressure.,Bạn có thường xuyên sử dụng mạng xã hội như một cách để đối phó với căng thẳng không?,Mình sử dụng mạng xã hội khoảng một tiếng mỗi ngày như một cách giải khuây tạm thời khỏi áp lực học tập.,0.0,0.0,0.0,0.0,5,5,5,Diễn đạt tự nhiên ý nghĩa của việc sử dụng mạng xã hội như một công cụ giải trí.
Q11,Purpose,Why do students seek mental health support at universities?,"Students seek support to manage academic pressure, relationship issues, and to develop effective coping strategies.",Tại sao sinh viên lại tìm kiếm sự hỗ trợ về sức khỏe tâm thần tại các trường đại học?,"Sinh viên tìm kiếm sự hỗ trợ để quản lý áp lực học tập, các vấn đề trong mối quan hệ và để phát triển các chiến lược ứng phó hiệu quả.",0.0,0.0,0.0,0.0,5,5,5,Các thuật ngữ chuyên môn được dịch chuẩn xác và dễ hiểu.
Q12,Purpose,What is the primary reason you would consider talking to a mental health counselor?,I would consider it if I felt unable to cope with stress or experienced persistent feelings of sadness and hopelessness.,Lý do chính nào khiến bạn cân nhắc việc nói chuyện với chuyên gia tư vấn tâm lý?,Mình sẽ cân nhắc việc đó nếu cảm thấy không thể đương đầu với căng thẳng hoặc trải qua cảm giác buồn bã và tuyệt vọng kéo dài.,0.0,0.0,0.0,0.0,5,5,5,Bản dịch truyền tải được sắc thái nghiêm túc của vấn đề sức khỏe tâm thần.
Q13,Purpose,Why is mental health education important in university settings?,"It raises awareness, reduces stigma, and equips students with tools to maintain their psychological well-being.",Tại sao giáo dục sức khỏe tâm thần lại quan trọng trong môi trường đại học?,"Việc này giúp nâng cao nhận thức, giảm bớt định kiến và trang bị cho sinh viên những công cụ để duy trì sức khỏe tâm lý.",0.0,0.0,0.0,0.0,5,5,5,"Sử dụng từ vựng học thuật (định kiến, nhận thức) rất chuẩn xác."
Q14,Purpose,Why do many students avoid seeking mental health help on campus?,"Many avoid it due to stigma, lack of awareness, privacy concerns, and fear of being judged by peers.",Tại sao nhiều sinh viên tránh tìm kiếm sự trợ giúp về sức khỏe tâm thần tại trường?,"Nhiều bạn né tránh do định kiến xã hội, thiếu nhận thức, lo ngại về quyền riêng tư và sợ bị bạn bè đánh giá.",0.0,0.0,0.0,0.0,5,5,5,Liệt kê các nguyên nhân một cách rõ ràng và đúng ngữ pháp tiếng Việt.
Q15,Purpose,What motivates students to participate in mental health workshops?,Students are motivated by the desire to improve self-awareness and learn practical stress management techniques.,Điều gì thúc đẩy sinh viên tham gia các buổi hội thảo về sức khỏe tâm thần?,Sinh viên được thúc đẩy bởi mong muốn cải thiện khả năng thấu hiểu bản thân và học các kỹ thuật quản lý căng thẳng thực tế.,0.0,0.0,0.0,0.0,5,5,5,Dịch đúng tinh thần mong muốn phát triển bản thân của sinh viên.
Q16,Purpose,Why should universities invest in mental health resources for students?,"Because student mental health directly affects academic performance, retention rates, and overall campus well-being.",Tại sao các trường đại học nên đầu tư vào các nguồn lực sức khỏe tâm thần cho sinh viên?,"Bởi vì sức khỏe tâm thần của sinh viên ảnh hưởng trực tiếp đến kết quả học tập, tỷ lệ tiếp tục theo học và sự ổn định chung của toàn trường.",0.0,0.0,0.0,0.0,5,5,5,"Chuyển ngữ tốt các thuật ngữ quản lý giáo dục như ""tỷ lệ tiếp tục theo học""."
Q17,Purpose,Why is peer support important for student mental health?,"Peers can provide immediate, relatable support and encourage others to seek professional help when needed.",Tại sao sự hỗ trợ từ bạn bè đồng trang lứa lại quan trọng đối với sức khỏe tâm thần của sinh viên?,"Bạn bè có thể mang lại sự hỗ trợ tức thì, dễ đồng cảm và khuyến khích nhau tìm kiếm sự giúp đỡ chuyên nghiệp khi cần thiết.",0.0,0.0,0.0,0.0,5,5,5,Diễn đạt trôi chảy vai trò của mạng lưới hỗ trợ đồng đẳng.
Q18,Purpose,Why do international students often experience higher levels of mental health challenges?,"They face cultural adjustment, language barriers, homesickness, and reduced social support networks abroad.",Tại sao sinh viên quốc tế thường gặp phải nhiều thách thức về sức khỏe tâm thần hơn?,"Họ phải đối mặt với việc thích nghi văn hóa, rào cản ngôn ngữ, nỗi nhớ nhà và mạng lưới hỗ trợ xã hội bị thu hẹp khi ở nước ngoài.",0.0,0.0,0.0,0.0,5,5,5,Chuyển ngữ chính xác các rào cản đặc thù của sinh viên quốc tế.
Q19,Purpose,What is the main purpose of university mental health awareness campaigns?,"They aim to normalize mental health discussions, reduce stigma, and connect students to available support resources.",Mục đích chính của các chiến dịch nâng cao nhận thức về sức khỏe tâm thần ở đại học là gì?,"Các chiến dịch này nhằm bình thường hóa việc thảo luận về sức khỏe tâm thần, giảm định kiến và kết nối sinh viên với các nguồn lực hỗ trợ sẵn có.",0.0,0.0,0.0,0.0,5,5,5,"Cấu trúc câu rõ ràng, làm nổi bật mục tiêu của các chiến dịch truyền thông."
Q20,Purpose,Why might students feel reluctant to disclose mental health struggles to academic staff?,"Students may fear academic consequences, loss of privacy, or not being taken seriously by faculty members.",Tại sao sinh viên có thể e ngại khi chia sẻ khó khăn tâm lý với cán bộ giảng dạy?,"Sinh viên có thể sợ bị ảnh hưởng đến kết quả học tập, mất quyền riêng tư hoặc lo lắng rằng giảng viên sẽ không xem trọng vấn đề của họ.",0.0,0.0,0.0,0.0,5,5,5,Bản dịch phản ánh đúng những lo ngại thực tế của sinh viên đối với giảng viên.
Q21,Benefit,What are the main benefits of practicing mindfulness for students?,"Mindfulness helps reduce anxiety, improve concentration, enhance emotional regulation, and promote overall well-being.",Những lợi ích chính của việc thực hành chánh niệm đối với sinh viên là gì?,"Chánh niệm giúp giảm lo âu, cải thiện sự tập trung, tăng cường khả năng điều chỉnh cảm xúc và nâng cao sức khỏe tổng thể.",0.0,0.0,0.0,0.0,5,5,5,Chuyển ngữ chuyên nghiệp các thuật ngữ về tâm lý học tích cực.
Q22,Benefit,How does addressing mental health positively affect academic performance?,"Students with good mental health show better focus, memory retention, and overall higher academic achievement.",Việc chú trọng sức khỏe tâm thần ảnh hưởng tích cực đến kết quả học tập như thế nào?,"Sinh viên có sức khỏe tâm thần tốt sẽ tập trung tốt hơn, ghi nhớ lâu hơn và đạt được kết quả học tập cao hơn nói chung.",0.0,0.0,0.0,0.0,5,5,5,Diễn đạt logic mối quan hệ nhân quả giữa tâm lý và kết quả học tập.
Q23,Benefit,What benefits do students gain from participating in support groups?,"They gain a sense of belonging, shared coping strategies, reduced isolation, and emotional validation from peers.",Sinh viên nhận được lợi ích gì khi tham gia các nhóm hỗ trợ?,"Họ có được cảm giác thuộc về một cộng đồng, chia sẻ các chiến lược ứng phó, giảm bớt sự cô lập và nhận được sự đồng cảm từ bạn bè.",0.0,0.0,0.0,0.0,5,5,5,"Sử dụng cụm từ ""cảm giác thuộc về một cộng đồng"" rất tự nhiên."
Q24,Benefit,How can good mental health contribute to a student's personal development?,"It builds resilience, improves decision-making, enhances creativity, and fosters stronger interpersonal relationships.",Sức khỏe tâm thần tốt đóng góp thế nào vào sự phát triển cá nhân của sinh viên?,"Nó xây dựng khả năng phục hồi, cải thiện kỹ năng ra quyết định, tăng cường sự sáng tạo và nuôi dưỡng các mối quan hệ cá nhân bền vững hơn.",0.0,0.0,0.0,0.0,5,5,5,"Các lợi ích được liệt kê mạch lạc, từ vựng phong phú và chuẩn xác."
Q25,Benefit,What are the long-term benefits of addressing mental health issues during university?,"Early intervention prevents chronic conditions, improves career prospects, and supports healthier adult relationships.",Những lợi ích lâu dài của việc giải quyết các vấn đề sức khỏe tâm thần khi còn ở đại học là gì?,"Can thiệp sớm giúp ngăn ngừa các bệnh mãn tính, cải thiện triển vọng nghề nghiệp và hỗ trợ các mối quan hệ lành mạnh hơn khi trưởng thành.",0.0,0.0,0.0,0.0,5,5,5,Bản dịch mang tính định hướng tương lai rõ ràng và chuyên nghiệp.
Q26,Benefit,How does regular physical activity benefit student mental health?,"Exercise releases endorphins, reduces cortisol levels, improves sleep quality, and promotes better mood stability.",Hoạt động thể chất thường xuyên mang lại lợi ích gì cho sức khỏe tâm thần của sinh viên?,"Tập thể dục giải phóng endorphin, giảm mức cortisol, cải thiện chất lượng giấc ngủ và thúc đẩy tâm trạng ổn định hơn.",0.0217,0.0,0.0,0.0,5,5,5,"Các thuật ngữ sinh học và tâm lý được dịch chính xác, dễ hiểu."
Q27,Benefit,What advantages does a university with strong mental health services offer its students?,"It creates a supportive learning environment that improves student retention, satisfaction, and overall campus well-being.",Một trường đại học có dịch vụ sức khỏe tâm thần tốt mang lại lợi thế gì cho sinh viên?,"Nó tạo ra một môi trường học tập hỗ trợ, giúp cải thiện tỷ lệ sinh viên ở lại trường, mức độ hài lòng và phúc lợi chung của khuôn viên đại học.",0.0,0.0,0.0,0.0,5,5,5,"Câu văn cấu trúc tốt, nhấn mạnh được giá trị của dịch vụ hỗ trợ đại học."
Q28,Benefit,How does improving mental health literacy benefit university students?,"It enables early recognition of distress symptoms, reduces stigma, and encourages timely help-seeking behavior.",Việc nâng cao hiểu biết về sức khỏe tâm thần có lợi gì cho sinh viên đại học?,"Việc này giúp sinh viên sớm nhận diện các triệu chứng bất ổn, giảm định kiến và khuyến khích hành vi tìm kiếm sự giúp đỡ kịp thời.",0.0,0.0,0.0,0.0,5,5,5,"Thuật ngữ ""literacy"" được chuyển ngữ thành ""hiểu biết"" rất phù hợp ngữ cảnh."
Q29,Benefit,What are the benefits of integrating mental health education into the curriculum?,"Students learn to recognize signs of distress, build resilience, and support their peers more effectively.",Lợi ích của việc tích hợp giáo dục sức khỏe tâm thần vào chương trình giảng dạy là gì?,"Sinh viên học được cách nhận biết các dấu hiệu bất ổn, xây dựng khả năng phục hồi và hỗ trợ bạn bè hiệu quả hơn.",0.0,0.0,0.0,0.0,5,5,5,Chuyển tải trọn vẹn ý nghĩa của việc tích hợp giáo dục vào chương trình chính quy.
Q30,Benefit,How does a positive campus mental health culture benefit disadvantaged students?,"It provides equitable access to support, reduces barriers to help-seeking, and promotes academic equity for all.",Văn hóa sức khỏe tâm thần tích cực tại học đường có lợi gì cho các sinh viên có hoàn cảnh khó khăn?,"Nó mang lại cơ hội tiếp cận hỗ trợ công bằng, giảm rào cản trong việc tìm kiếm sự giúp đỡ và thúc đẩy sự bình đẳng trong học tập cho tất cả mọi người.",0.0,0.0,0.0,0.0,5,5,5,Bản dịch thể hiện tốt khía cạnh công bằng xã hội trong giáo dục.
Q31,Concerns,What are the most common mental health concerns among university students?,"Depression, anxiety, burnout, social isolation, and academic stress are the most frequently reported concerns.",Những vấn đề sức khỏe tâm thần phổ biến nhất ở sinh viên đại học là gì?,"Trầm cảm, lo âu, kiệt sức, cô lập xã hội và áp lực học tập là những vấn đề được báo cáo thường xuyên nhất.",0.0,0.0,0.0,0.0,5,5,5,Liệt kê các vấn đề tâm lý bằng từ vựng chuẩn xác và phổ biến.
Q32,Concerns,How does financial stress impact student mental health?,"Financial stress increases anxiety, reduces academic motivation, and limits access to necessary mental health resources.",Áp lực tài chính tác động đến sức khỏe tâm thần của sinh viên như thế nào?,"Áp lực tài chính làm tăng lo âu, giảm động lực học tập và hạn chế khả năng tiếp cận các nguồn lực sức khỏe tâm thần cần thiết.",0.0,0.0,0.0,0.0,5,5,5,Phản ánh đúng tác động tiêu cực của vấn đề tài chính đối với việc học.
Q33,Concerns,What concerns do students have about confidentiality of mental health services?,Students worry their personal information may not remain private or could negatively affect their academic records.,Sinh viên có những lo ngại gì về tính bảo mật của các dịch vụ sức khỏe tâm thần?,Sinh viên lo lắng rằng thông tin cá nhân của họ có thể không được giữ kín hoặc có thể gây ảnh hưởng xấu đến hồ sơ học tập.,0.0,0.0,0.0,0.0,5,5,5,Bản dịch rõ ràng về nỗi lo ngại quyền riêng tư của sinh viên.
Q34,Concerns,Why is academic burnout becoming an increasingly serious concern for students?,"Increasing workloads, competitive academic environments, and limited support contribute to widespread burnout.",Tại sao tình trạng kiệt sức trong học tập đang trở thành một vấn đề ngày càng nghiêm trọng?,"Khối lượng công việc ngày càng tăng, môi trường học tập cạnh tranh và sự hỗ trợ hạn chế là những yếu tố dẫn đến tình trạng kiệt sức diện rộng.",0.0,0.0,0.0,0.0,5,5,5,Giải thích nguyên nhân gây kiệt sức một cách logic và trôi chảy.
Q35,Concerns,What mental health risks do students face from excessive social media use?,"Excessive use is linked to increased anxiety, depression, poor sleep quality, and negative body image.",Sinh viên đối mặt với những rủi ro sức khỏe tâm thần nào từ việc sử dụng mạng xã hội quá mức?,"Việc sử dụng quá mức có liên quan đến việc tăng lo âu, trầm cảm, chất lượng giấc ngủ kém và hình ảnh tiêu cực về cơ thể.",0.0,0.0,0.0,0.0,5,5,5,Chuyển ngữ chính xác các rủi ro liên quan đến mạng xã hội và ngoại hình.
Q36,Concerns,How does loneliness and social isolation affect university students?,"Isolation leads to depression, reduced motivation, and decreased engagement with academic and social activities.",Sự cô đơn và cô lập xã hội ảnh hưởng đến sinh viên đại học như thế nào?,"Sự cô lập dẫn đến trầm cảm, giảm động lực và giảm sự tham gia vào các hoạt động học thuật cũng như xã hội.",0.0,0.0,0.0,0.0,5,5,5,"Câu văn giàu sức gợi, mô tả đúng hệ quả của sự cô lập."
Q37,Concerns,What are students' concerns about accessibility of campus mental health services?,"Common concerns include long waiting times, limited availability, high costs, and lack of culturally diverse counselors.",Những lo ngại của sinh viên về khả năng tiếp cận các dịch vụ sức khỏe tâm thần tại trường là gì?,"Các lo ngại phổ biến bao gồm thời gian chờ đợi lâu, số lượng dịch vụ có hạn, chi phí cao và thiếu các chuyên viên tư vấn đa dạng về văn hóa.",0.0,0.0,0.0,0.0,5,5,5,Bản dịch bao quát đủ các rào cản về hạ tầng và chi phí dịch vụ.
Q38,Concerns,How does academic perfectionism negatively affect student mental health?,"Perfectionism leads to chronic stress, procrastination, fear of failure, and significantly increased risk of burnout.",Chủ nghĩa hoàn hảo trong học tập ảnh hưởng tiêu cực đến sức khỏe tâm thần của sinh viên ra sao?,"Chủ nghĩa hoàn hảo dẫn đến căng thẳng mãn tính, thói quen trì hoãn, sợ thất bại và làm tăng đáng kể nguy cơ kiệt sức.",0.0,0.0,0.0,0.0,5,5,5,"Sử dụng thuật ngữ ""chủ nghĩa hoàn hảo"" và các hệ lụy rất chuẩn xác."
Q39,Concerns,What concerns exist about mental health support during examination periods?,"There is insufficient support during peak stress periods, with many students reporting unmet mental health needs.",Có những lo ngại gì về việc hỗ trợ sức khỏe tâm thần trong các kỳ thi?,"Sự hỗ trợ thường không đủ trong các giai đoạn căng thẳng cao điểm, nhiều sinh viên cho biết các nhu cầu về sức khỏe tâm thần của họ không được đáp ứng.",0.0,0.0,0.0,0.0,5,5,5,Phản ánh đúng thực trạng thiếu hụt hỗ trợ trong giai đoạn cao điểm.
Q40,Concerns,How does substance use relate to mental health concerns in students?,"Some students use alcohol or substances as coping mechanisms, which ultimately worsens mental health outcomes.",Việc sử dụng chất kích thích liên quan như thế nào đến các vấn đề sức khỏe tâm thần ở sinh viên?,"Một số sinh viên sử dụng rượu hoặc các chất kích thích như một cơ chế đối phó, điều này cuối cùng làm tồi tệ hơn các vấn đề sức khỏe tâm thần.",0.0,0.0,0.0,0.0,5,5,5,"Cách diễn đạt ""cơ chế đối phó"" rất chuyên nghiệp và sát nghĩa."
Q41,Ethics,What ethical responsibilities do universities have toward student mental health?,"Universities must provide accessible, confidential, culturally sensitive support and uphold all student privacy rights.",Các trường đại học có trách nhiệm đạo đức gì đối với sức khỏe tâm thần của sinh viên?,"Các trường đại học phải cung cấp sự hỗ trợ dễ tiếp cận, bảo mật, nhạy bén về văn hóa và tôn trọng mọi quyền riêng tư của sinh viên.",0.0,0.0,0.0,0.0,5,5,5,"Ngôn ngữ dịch mang tính trang trọng, phù hợp với chủ đề đạo đức."
Q42,Ethics,Is it ethical to require students to disclose mental health conditions for accommodations?,"While institutions need information to provide support, mandatory disclosure raises significant and complex privacy concerns.",Có đúng đạo đức không khi yêu cầu sinh viên tiết lộ tình trạng sức khỏe tâm thần để được hỗ trợ học tập?,"Mặc dù các cơ sở giáo dục cần thông tin để hỗ trợ, việc bắt buộc tiết lộ làm nảy sinh những lo ngại phức tạp và đáng kể về quyền riêng tư.",0.0,0.0,0.0,0.0,5,5,5,Chuyển ngữ khéo léo sự phức tạp trong việc tiết lộ thông tin cá nhân.
Q43,Ethics,What ethical considerations arise when implementing mandatory mental health screenings?,"Key concerns include privacy rights, risk of stigma, resource allocation, and the voluntary nature of mental health assessment.",Những cân nhắc đạo đức nào nảy sinh khi triển khai sàng lọc sức khỏe tâm thần bắt buộc?,"Các mối quan tâm chính bao gồm quyền riêng tư, nguy cơ bị kỳ thị, việc phân bổ nguồn lực và tính tự nguyện của việc đánh giá sức khỏe tâm thần.",0.0,0.0,0.0,0.0,5,5,5,"Các tiêu chuẩn đạo đức được liệt kê một cách rành mạch, chuyên sâu."
Q44,Ethics,How should universities ethically handle student mental health data?,"Data should be stored securely, used only for support purposes, and never shared without the student's explicit consent.",Các trường đại học nên xử lý dữ liệu sức khỏe tâm thần của sinh viên như thế nào cho đúng đạo đức?,"Dữ liệu phải được lưu trữ an toàn, chỉ sử dụng cho mục đích hỗ trợ và không bao giờ được chia sẻ nếu không có sự đồng ý rõ ràng của sinh viên.",0.0,0.0,0.0,0.0,5,5,5,Bản dịch khẳng định rõ nguyên tắc bảo mật và quyền sở hữu thông tin.
Q45,Ethics,What are the ethical implications of mental health apps used by students?,"Issues include data privacy, algorithm transparency, lack of clinical validation, and potential harm to vulnerable users.",Những hệ lụy về đạo đức của các ứng dụng sức khỏe tâm thần mà sinh viên sử dụng là gì?,"Các vấn đề bao gồm quyền riêng tư dữ liệu, tính minh bạch của thuật toán, thiếu chứng thực lâm sàng và khả năng gây hại cho những người dùng dễ bị tổn thương.",0.0,0.0,0.0,0.0,5,5,5,Chuyển ngữ tốt các thuật ngữ công nghệ và đạo đức y sinh.
Q46,Ethics,Is it ethical for professors to comment on students' mental health in evaluations?,Generally it is not appropriate unless the student has consented or it directly relates to academic support decisions.,Việc giáo viên nhận xét về sức khỏe tâm thần của sinh viên trong các bản đánh giá có đúng đạo đức không?,Nói chung là không phù hợp trừ khi sinh viên đã đồng ý hoặc việc đó liên quan trực tiếp đến các quyết định hỗ trợ học tập.,0.0,0.0,0.0,0.0,5,5,5,"Cách diễn đạt gãy gọn, nêu rõ quan điểm về đạo đức nghề giáo."
Q47,Ethics,What ethical boundaries should peer supporters observe in student mental health programs?,"They should maintain confidentiality, refer to professionals when necessary, and avoid overstepping their peer role competencies.",Những ranh giới đạo đức nào mà những người hỗ trợ đồng đẳng nên tuân thủ?,"Họ nên giữ bí mật thông tin, giới thiệu đến các chuyên gia khi cần thiết và tránh làm quá thẩm quyền của một người hỗ trợ đồng đẳng.",0.0,0.0,0.0,0.0,5,5,5,Bản dịch xác định rõ giới hạn trách nhiệm của người hỗ trợ đồng đẳng.
Q48,Ethics,How should universities address mental health needs of culturally diverse students?,"By offering culturally competent services, training staff appropriately, and ensuring representation among mental health providers.",Các trường đại học nên giải quyết nhu cầu sức khỏe tâm thần của sinh viên đa dạng về văn hóa như thế nào?,"Bằng cách cung cấp các dịch vụ phù hợp với văn hóa, đào tạo nhân viên một cách bài bản và đảm bảo tính đại diện trong đội ngũ chuyên gia tâm lý.",0.0,0.0,0.0,0.0,5,5,5,Thể hiện tốt tầm quan trọng của tính đa dạng và đại diện trong hỗ trợ tâm lý.
Q49,Ethics,What ethical considerations apply to online mental health counseling for students?,"Issues include ensuring informed consent, maintaining digital security, assessing suitability, and managing crisis situations remotely.",Những cân nhắc đạo đức nào áp dụng cho việc tư vấn sức khỏe tâm thần trực tuyến cho sinh viên?,"Các vấn đề bao gồm đảm bảo sự đồng ý dựa trên đầy đủ thông tin, duy trì an ninh kỹ thuật số, đánh giá tính phù hợp và quản lý các tình huống khủng hoảng từ xa.",0.0,0.0,0.0,0.0,5,5,5,Chuyển ngữ chính xác các thuật ngữ về tư vấn từ xa và bảo mật số.
Q50,Ethics,Should universities ethically report students in severe mental health crisis to authorities?,"Yes, in cases of imminent risk to self or others, but always with transparency and student involvement where possible.",Các trường đại học có nên báo cáo những sinh viên đang trong cơn khủng hoảng tâm thần nghiêm trọng cho chính quyền không?,"Có, trong trường hợp có nguy cơ tức thời đối với bản thân sinh viên hoặc người khác, nhưng luôn cần sự minh bạch và sự tham gia của sinh viên nếu có thể.",0.0,0.0,0.0,0.0,5,5,5,Bản dịch truyền tải đúng sự cân bằng giữa an toàn và tính minh bạch.
